N� ;PE�A;ESP.;COMP.;<FONT size=3.5>QTD.;Peso;MP;Material;FABRICACAO;pai
1;CHASSI CA�AMBA;9,53;4800,00;2;103;Ch.271x4800x9,53mm;A36;EXTERNO;COCHO14m3
2;CHAPA FRONTAL;6,35;2480,00;1;192;Ch. 2480x1850x6,35mm;A36;EXTERNO;COCHO14m3
3;PERFIL FRONTAL;6,35;1506,00;2;23;Ch. 294x1510x6,35mm;A36;INTERNO;COCHO14m3
4;CHAPA FUNDO;6,35;1500,00;3;225;Ch. 3000x1500x6,35mm;A36;EXTERNO;COCHO14m3
5;CHAPA FUNDO (COMPLEMENTO);6,35;650,00;1;98;Ch. 3000x 650x6,35mm;A36;EXTERNO;COCHO14m3
6;CHAPA LATERAL;4,75;1500,00;4;42;Ch. 748x 1500x4,75mm;A36;INTERNO;COCHO14m3
7;CHAPA LATERAL (COMPLEMENTO);4,75;2150,00;2;60;Ch. 748x 2150x4,75mm;A36;INTERNO;COCHO14m3
8;MOLDURA SUP.;6,53;2600,00;4;50;Ch. 388x2600x6,35mm;A36;INTERNO;COCHO14m3
9;MOLDURA FRONTAL;6,35;2480,00;1;43;Ch. 358x2500x6,35mm;A36;INTERNO;COCHO14m3
10;COSTELA SUPERIOR;4,75;890,00;6;11;Ch.496x880x4,75mm;A36;EXTERNO;COCHO14m3
11;COSTELA INFERIOR;4,75;805,00;6;9;Ch. 508x800x4,75mm;A36;EXTERNO;COCHO14m3
12;COSTELA PISO;4,75;750,00;6;8;Ch. 300x750x4,75mm;A36;INTERNO;COCHO14m3
13;LATERAL QUADRO PORTA;6,35;1400,00;2;22;Ch. 310x1400x6,35mm;A36;INTERNO;COCHO14m3
14;PROTETOR LATERAL CABINE;4,75;;2;7;Ch. 600x705x4,75mm;A36;EXTERNO;COCHO14m3
15;PROTETOR CABINE (CHAPEU);4,75;2480,00;1;56;Ch. 595x2480x4,75mm;A36;INTERNO;COCHO14m3
16;MANCAL SUPERIOR CILINDRO HIDR.;25,40;;2;10;Ch. 350x240x25,4mm;A36;EXTERNO;COCHO14m3
17;INFERIOR QUADRO PORTA;6,35;2470,00;1;45;Ch. 356x2470x6,35mm;A36;INTERNO;COCHO14m3
18;FECHAMENTO QUADRO PORTA;4,75;;4;7.58;Ch. 690x690x4,75mm;A36;EXTERNO;COCHO14m3
19;FECHAMENTO SUPERIOR QUADRO;4,75;;4;1.58;Ch. 533x83x4,75mm;A36;EXTERNO;COCHO14m3
20;SAIOTE LATERAL;2,00;3000,00;1;10;Ch.  421 x 3000 x  1,50 mm;ALX;INTERNO;COCHO14m3
21;SAIOTE LATERAL COMPLEMENTO;2,00;1650,00;1;6;Ch.  421  x1650 x  1,50 mm;ALX;INTERNO;COCHO14m3
22;;4;;1;2;
