Nº ;QTD.;Nome da Peça;REFERÊNCIA;MATERIAL;COMPR;Peso;QTD.
1;1;PAINEL FRONTAL 2,3 x 2,3;;;;49.49;1
1.1;2;PERFIL COLUNA ;TMR 1304;;2257;;2
1.2;1;PERFIL INFERIOR SAIA;TMR 1305;;2160;;1
1.3;1;CHAPA FRISADA FRONTAL;Ch. 2424x1,00mm;Ch. Frisada 1mm;;47.75;1
1.4;1;PERFIL DE ENCAIXE DO TETO (CADEIRINHA);TMR 1368;;2428;;1
2;2;PAINEL LATERAL 5,5m;;;;121.20;2
2.1;1;PERFIL INFERIOR SAIA;TMR 1305;;5964;;1
2.2;2;PERFIL DE ENCAIXE LATERAL;TMR 676;;2557;;2
2.3;1;CHAPA FRISADA LATERAL;Ch.5967x1,00mm;Ch. Frisada 1mm;;116.80;1
2.3.1;2;CHAPA FRISADA ;Ch.5967x1,00mm;Ch. Frisada 1mm;;116.80;2
2.3.2;6;SUPORTES LATERAIS;Ch 230x2,65mm;Aço A36 2,65mm;5967;35.24;6
2.4;1;PERFIL DE ENCAIXE DO TETO (CADEIRINHA) ;TMR 1368;;5967;;1
3;1;QUADRO TRASEIRO;;;;86.95;1
3.1;1;PERFIL INFERIOR (QUADRO TRASEIRO);Ch 230x2,65mm;Aço A36 2,65mm;2367;11.73;1
3.2;2;COLUNA QUADRO TRASEIRO;Ch 280x2,65mm;Aço A36 2,65mm;2557;15.23;2
3.3;1;PERFIL SUPERIOR;Ch 200x2,65mm;Aço A36 2,65mm;2367;10.15;1
3.4;1;PERFIL BICA QUADRO TRASEIRO;Ch 250x6,35mm;Aço A36 6,35mm;2564;34.61;1
4;1;TETO ;;;;119.15;1
4.1;1;PERFIL DE CONTORNO DO TETO ;TMR 675;;8590.00;;1
4.2;1;CHAPA TETO;Ch.2522 x 0,95mm;Galvalume 0.95mm;6068;114.42;1
